date,gold_kzt,gold_kzt_variability
10-03-2023,25776.4,-2.03
09-03-2023,25568.87,-0.81
07-03-2023,25767.9,0.78
06-03-2023,25578.48,-0.74
03-03-2023,25658.71,0.31
02-03-2023,26061.67,1.57
01-03-2023,25946.4,-0.44
28-02-2023,26123.02,0.68
27-02-2023,26257.65,0.52
24-02-2023,26386.2,0.49
23-02-2023,26325.63,-0.23
22-02-2023,26266.05,-0.23
21-02-2023,26544.02,1.06
20-02-2023,26058.1,-1.83
17-02-2023,26232.65,0.67
16-02-2023,26395.07,0.62
15-02-2023,26987.39,2.24
14-02-2023,27033.67,0.17
13-02-2023,27016.84,-0.06
10-02-2023,27374.54,1.32
09-02-2023,27552.02,0.65
08-02-2023,27530.33,-0.08
07-02-2023,27569.3,0.14
06-02-2023,28167.2,2.17
03-02-2023,28906.66,2.63
02-02-2023,28532.22,-1.3
01-02-2023,28207.9,-1.14
31-01-2023,28490.41,1.0
30-01-2023,28544.21,0.19
27-01-2023,28724.12,0.63
26-01-2023,28569.36,-0.54
25-01-2023,28756.61,0.66
24-01-2023,28628.42,-0.45
23-01-2023,28683.07,0.19
20-01-2023,28380.55,-1.05
19-01-2023,28537.3,0.55
18-01-2023,28423.45,-0.4
17-01-2023,28488.7,0.23
16-01-2023,28299.84,-0.66
13-01-2023,28006.01,-1.04
12-01-2023,28000.1,-0.02
11-01-2023,27843.91,-0.56
10-01-2023,27862.28,0.07
09-01-2023,27326.28,-1.92
06-01-2023,27716.74,1.43
05-01-2023,27793.84,0.28
04-01-2023,27295.53,-1.79
30-12-2022,26757.56,-1.97
29-12-2022,26731.3,-0.1
28-12-2022,26618.19,-0.42
27-12-2022,26645.93,0.1
26-12-2022,26696.21,0.19
23-12-2022,27252.97,2.09
22-12-2022,27419.85,0.61
21-12-2022,27247.86,-0.63
20-12-2022,27044.99,-0.74
19-12-2022,26817.17,-0.84
15-12-2022,27237.4,1.57
14-12-2022,26937.83,-1.1
13-12-2022,27053.46,0.43
12-12-2022,27217.12,0.6
09-12-2022,27058.69,-0.58
08-12-2022,26975.82,-0.31
07-12-2022,26929.67,-0.17
06-12-2022,27066.27,0.51
05-12-2022,27151.81,0.32
02-12-2022,26802.59,-1.29
01-12-2022,26527.58,-1.03
30-11-2022,26436.23,-0.34
29-11-2022,26525.0,0.34
28-11-2022,26237.17,-1.09
25-11-2022,26294.77,0.22
24-11-2022,25818.49,-1.81
23-11-2022,25991.44,0.67
22-11-2022,25926.84,-0.25
21-11-2022,26045.03,0.46
18-11-2022,26042.64,-0.01
17-11-2022,26335.09,1.12
16-11-2022,26309.06,-0.1
15-11-2022,25975.36,-1.27
14-11-2022,26213.54,0.92
11-11-2022,25742.02,-1.8
10-11-2022,25523.95,-0.85
09-11-2022,24925.44,-2.34
08-11-2022,25082.26,0.63
07-11-2022,24620.56,-1.84
04-11-2022,24155.93,-1.89
03-11-2022,24527.63,1.54
02-11-2022,24770.6,0.99
